D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113007319	295	175	206	195	412	1047	741	339	87	529	108
LOC113007320	0	3	3	2	4	4	12	1	1	1	0
LOC113007323	0	0	0	0	0	0	0	0	0	0	0
LOC113007324	11	0	14	4	1	19	10	0	0	5	3
LOC113007327	0	0	0	0	0	0	0	0	0	0	0
LOC113007328	0	0	0	0	0	0	0	0	0	0	0
LOC113007329	0	0	0	2	0	0	0	0	0	0	0
LOC113007330	0	0	0	0	0	0	0	0	0	0	0
LOC113007336	0	0	0	0	0	0	0	0	0	0	0
LOC113007337	0	0	0	0	0	0	0	0	0	0	0
LOC113007338	0	0	0	0	0	0	0	0	0	0	0
LOC113007340	406	315	55	311	559	342	224	56	26	319	29
LOC113007341	23	10	40	33	33	56	22	24	0	11	17
LOC113007342	8	7	2	17	20	80	22	33	12	9	17
LOC113007343	0	0	0	0	0	0	0	0	0	0	0
LOC113007344	0	0	0	0	0	0	0	0	0	0	0
LOC113007345	0	0	0	0	0	0	0	0	0	0	0
LOC113007347	0	0	0	0	0	0	1	0	0	0	0
LOC113007349	89	32	107	96	55	331	144	127	22	242	49
LOC113007350	763	867	721	615	1227	4727	3332	1962	1185	2930	1493
LOC113007351	51	25	58	57	17	170	52	216	14	36	13
LOC113007357	0	0	0	2	0	18	0	7	10	6	2
LOC113007358	0	1	0	4	5	0	1	0	0	0	0
LOC113007359	0	0	1	1	0	0	7	0	0	0	0
LOC113007360	61	47	42	107	94	269	339	243	165	305	98
LOC113007365	0	0	0	0	0	0	3	0	0	0	0
LOC113007366	0	0	0	0	0	0	0	1	0	0	0
LOC113007368	295	283	525	212	235	345	291	312	56	637	82
LOC113007370	119101	380097	6109	314109	347295	434	444194	682844	886958	751310	830980
LOC113007371	63	15	200	98	29	105	462	379	88	215	95
LOC113007373	0	0	0	0	0	0	0	0	0	0	0
LOC113007374	0	0	0	0	0	0	0	0	0	0	0
LOC113007376	0	0	0	0	0	0	0	0	0	0	0
LOC113007379	27	60	85	48	44	40	26	65	64	87	39
LOC113007381	0	0	0	0	3	5	6	1	1	1	0
LOC113007382	36	3	9	12	18	36	27	31	0	24	5
LOC113007383	0	53	10	17	65	530	343	42	15	157	25
LOC113007388	147	153	55	75	659	806	422	14	8	116	6
LOC113007389	12	47	37	14	21	96	67	18	9	91	10
LOC113007390	0	0	0	0	0	3	0	0	0	0	0
LOC113007391	220	126	61	87	262	627	454	120	75	189	75
LOC113007393	663	656	643	553	830	971	1360	1242	850	1389	1297
LOC113007394	54	32	76	49	79	142	100	68	45	113	44
LOC113007395	0	2	2	0	3	10	0	2	0	0	0
LOC113007399	207	163	230	112	156	900	300	249	97	528	156
LOC113007402	145	188	126	119	163	454	378	119	125	326	155
LOC113007404	0	5	0	1	3	0	3	0	0	1	3
